gene_symbol,Rap2b
pvalue,0.2656046
parameter_name,Forelimb grip strength normalised against body weight
gene_accession_id,MGI:1921262
analysis_id,9bmwmv397x6e7nr
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,HRWLLA_GRS_010_001
