analysis_id,z5173116ihp18o2
parameter_name,UIBC (unsaturated iron binding capacity)
pvalue,0.8365352
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Zyg11b
gene_accession_id,MGI:2685277
parameter_id,IMPC_CBC_024_001
