analysis_id,0kha461aee188q6
mouse_strain,C57BL
parameter_name,Skull shape
gene_accession_id,MGI:2684980
pvalue,0.429672
gene_symbol,Mms22l
mouse_life_stage,Early adult
parameter_id,CCP_XRY_001_001
