analysis_id,p05lb4e6088y883
parameter_id,IMPC_EYE_027_001
mouse_life_stage,Early adult
pvalue,0.4487378
parameter_name,Persistence of hyaloid vascular system
gene_accession_id,MGI:1332236
gene_symbol,Cds2
mouse_strain,C57BL
