gene_symbol,Bach2
gene_accession_id,MGI:894679
mouse_strain,C57BL
pvalue,0.2141987
parameter_name,NK Subsets (Q2)
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_055_001
analysis_id,eb9s2984l6o6l92
