gene_symbol,Sprr1b
parameter_id,JAXLA_OFD_020_001
parameter_name,Distance travelled - total
mouse_strain,C54BL
mouse_life_stage,Early adult
pvalue,0.3271021
gene_accession_id,MGI:106659
analysis_id,5xux486513sf466
