gene_symbol,Trim46
parameter_id,MGP_IMM_011_001
mouse_strain,C57BL
analysis_id,kj75159x503h5lj
parameter_name,Resting Treg cells - % of Treg
pvalue,0.904024
gene_accession_id,MGI:2673000
mouse_life_stage,Early adult
