parameter_name,Limb morphology
mouse_strain,C57BL
gene_accession_id,MGI:2441730
parameter_id,IMPC_GEP_084_001
mouse_life_stage,Late adult
gene_symbol,Tbl1xr1
analysis_id,71d2jl25s9615i0
pvalue,0.4320985
