analysis_id,9v05z814tm1642r
gene_symbol,Ap5s1
parameter_name,CD103+ CD11b-low cDC - % of CD45+
gene_accession_id,MGI:1916846
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_IMM_131_001
pvalue,0.3258683
