gene_symbol,Ahcy
mouse_strain,C57BL
pvalue,0.5849881
analysis_id,k4ykq5h12b7b4x7
gene_accession_id,MGI:87968
parameter_id,IMPC_EYE_026_001
mouse_life_stage,E9.5
parameter_name,Retinal Blood Vessels Pattern
