analysis_id,69n58x36d6191j6
parameter_name,KLRG1+ mature NK cell number
gene_accession_id,MGI:1338022
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Opn3
parameter_id,MGP_PBI_031_001
pvalue,0.6971536
