analysis_id,d060dfs47eh5cm8
gene_symbol,Rab3gap2
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_005_001
pvalue,0.5947882
gene_accession_id,MGI:1916043
mouse_strain,C57BL
parameter_name,Creatinine
