analysis_id,gmv5o31th2gh172
gene_accession_id,MGI:1276578
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Activity (body position)
gene_symbol,Gfi1b
pvalue,0.8721675
parameter_id,IMPC_CSD_029_001
