parameter_id,IMPC_ABR_004_001
pvalue,0.3918741
gene_accession_id,MGI:1921493
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Slx4ip
parameter_name,6kHz-evoked ABR Threshold
analysis_id,50wcaoig0ffer02
