gene_symbol,Kdm5b
parameter_name,Activity (body position)
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.673789
analysis_id,244bz0ux9ga5ugv
gene_accession_id,MGI:1922855
parameter_id,IMPC_CSD_029_001
