analysis_id,c73j1n4093e4h22
Mouse_life_stage,Early adult
pvalue,0.4139973
parameter_name,Total CD4+ T cells - % of CD45+
Parameter_id,MGP_IMM_071_001
Mouse_strain,C57BL
gene_accession_id,MGI:107566
gene_symbol,Kifap3
