gene_symbol,Mecom
parameter_id,IMPC_HEM_006_001
mouse_strain,C57BL
pvalue,0.08993787
mouse_life_stage,E15.5
parameter_name,Mean corpuscular hemoglobin
analysis_id,157748lk1138uzf
gene_accession_id,MGI:95457
