gene_symbol,Tubb4b
mouse_strain,C57BL
parameter_name,CD11b-low cDC - % of CD45+
analysis_id,811w5k43n014j39
mouse_life_stage,Early adult
gene_accession_id,MGI:1915472
parameter_id,MGP_IMM_130_001
pvalue,0.2923735
