analysis_id,v3vlh073q079y84
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1914061
pvalue,0
gene_symbol,Duoxa2
parameter_id,MGP_PBI_031_001
parameter_name,KLRG1+ mature NK cell number
