analysis_id,5om094rg8034ncj
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_017_001
gene_accession_id,MGI:894679
gene_symbol,Bach2
parameter_name,Lens Opacity
pvalue,0.5524166
