gene_symbol,Psd4
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_023_001
parameter_name,Ulna
pvalue,0.523351
analysis_id,cmd4f3bp7y78jyp
gene_accession_id,MGI:2674093
