parameter_name,Body position
parameter_id,ESLIM_008_001_001
pvalue,0.2308708
analysis_id,pzq163ku93h96cf
mouse_strain,C57BL
gene_accession_id,MGI:2385156
mouse_life_stage,Early adult
gene_symbol,Sdcbp2
