gene_symbol,Dmap1
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_013_001
analysis_id,67mqy5he0t6l28b
parameter_name,Periphery average speed
pvalue,0.940447
mouse_strain,C57BL
gene_accession_id,MGI:1913483
