analysis_id,cr90w5m945q4c69
mouse_strain,C57BL
parameter_id,IMPC_CBC_003_001
Parameter_name,Chloride
Gene_symbol,Slc17a9
gene_accession_id,MGI:1919107
pvalue,0.9961433
Mouse_life_stage,Early adult
