analysis_id,8f1w62p0gwo069w
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3427108
parameter_id,ESLIM_011_001_705
parameter_name,Global prepulse inhibition
gene_symbol,Ufc1
gene_accession_id,MGI:1913405
