gene_symbol,Traf6
analysis_id,28k6y9mqzpd9z6a
pvalue,0.2385123
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Basophil cell count
gene_accession_id,MGI:108072
parameter_id,IMPC_HEM_037_001
