parameter_id,CCP_LFO_001_001
parameter_name,Weight
analysis_id,a7i305durfmd54h
gene_accession_id,MGI:1913483
gene_symbol,Dmap1
pvalue,0.6766983
mouse_life_stage,E9.5
mouse_strain,C57BL
