parameter_id,IMPC_FEA_106_001
gene_symbol,Bcs1l
mouse_strain,C57BL
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
pvalue,0.6266916
analysis_id,k8393v3nahh21bk
mouse_life_stage,E9.5
gene_accession_id,MGI:1914071
