gene_symbol,Pld1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_PBI_027_001
gene_accession_id,MGI:109585
analysis_id,57vp87t2u9jree0
pvalue,0.4822624
parameter_name,NK cell number
