gene_symbol,Lrrc69
analysis_id,12x87x487z0q57z
pvalue,0.3004138
gene_accession_id,MGI:1920564
mouse_strain,C57BL
parameter_name,Total cholesterol
parameter_id,HMGULA_CBC_015_001
mouse_life_stage,Early adult
