parameter_id,IMPC_GPP_004_001
gene_symbol,Morn5
parameter_name,Placenta Size
mouse_strain,C57BL
pvalue,0.2666144
analysis_id,72q812149dipjb7
gene_accession_id,MGI:1922745
mouse_life_stage,Early adult
