parameter_name,Total bilirubin
gene_symbol,Golm2
mouse_strain,C57BL
parameter_id,IMPC_CBC_008_001
analysis_id,5s0n72v4769ojva
pvalue,0.8101008
mouse_life_stage,Early adult
gene_accession_id,MGI:2443129
