parameter_name,center - resting time
mouse_strain,C57BL
gene_symbol,Etfdh
analysis_id,rqid2xkj26nvpj1
pvalue,0.1786434
parameter_id,M-G-P_007_001_011
mouse_life_stage,Early adult
gene_accession_id,MGI:106100
