gene_symbol,Kcng1
analysis_id,p4y8866lj6mh67g
parameter_name,Lean mass
mouse_life_stage,Early adult
gene_accession_id,MGI:3616086
parameter_id,IMPC_DXA_003_001
mouse_strain,C57BL
pvalue,0.1871414
