analysis_id,4231gnt6609fsi2
mouse_strain,C57BL
parameter_name,Total T cell percentage
pvalue,0.836378
gene_symbol,Tnni1
mouse_life_stage,Early adult
gene_accession_id,MGI:105073
parameter_id,MGP_PBI_001_001
