parameter_name,Pale yolk sac
analysis_id,zr0j0g6il7ip2re
pvalue,0.8280249
gene_accession_id,MGI:1336200
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Hpca
parameter_id,IMPC_GEL_017_002
