analysis_id,g3609h5kz6cz177
mouse_life_stage,Early adult
pvalue,0.2420781
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell percentage
parameter_id,MGP_PBI_010_001
gene_symbol,Opn3
mouse_strain,C57BL
gene_accession_id,MGI:1338022
