parameter_name,Center distance travelled
gene_symbol,Tubb4b
gene_accession_id,MGI:1915472
pvalue,0.2146163
mouse_strain,C57BL
parameter_id,JAX_OFD_014_001
analysis_id,paz45at125nv9vm
mouse_life_stage,Early adult
