analysis_id,sy39n2u0ly79o98
gene_accession_id,MGI:105073
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_IPG_010_001
pvalue,0.7031042
parameter_name,Fasted blood glucose concentration
gene_symbol,TNNI1
