parameter_name,Percentage center time
gene_accession_id,MGI:1915678
pvalue,0.379584
mouse_strain,C57BL
gene_symbol,Steap3
mouse_life_stage,Early adult
analysis_id,06k3ga502fq94c3
parameter_id,IMPC_OFD_022_001
