gene_symbol,Prkcq
parameter_id,IMPC_XRY_007_001
parameter_name,Clavicle
analysis_id,bsbx518ig1byh5g
mouse_life_stage,Early adult
mouse_strain,C50BL
gene_accession_id,MGI:97601
pvalue,0.7823265
