gene_symbol,Opn3
gene_accession_id,MGI:1338022
mouse_life_stage,Early adult
parameter_name,Bone Area
pvalue,0.1444152
mouse_strain,C57BL
parameter_id,IMPC_DXA_010_001
analysis_id,2226v9fq42t6271
