gene_symbol,Hrnr
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_IMM_004_002
analysis_id,ju1951471m9m3n1
pvalue,0.4525074
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
gene_accession_id,MGI:3046938
