parameter_name,Midbrain
analysis_id,5302371j708jg1c
gene_accession_id,MGI:88174
gene_symbol,Bmi1
pvalue,0.5643278
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_029_001
mouse_strain,C57BL
