analysis_id,mm4i3dxgfm7jgu1
mouse_strain,129SV
gene_accession_id,MGI:1921802
pvalue,0.5692903
gene_symbol,Nipal3
mouse_life_stage,Early adult
parameter_id,ESLIM_001_001_117
parameter_name,eye size
