analysis_id,7j527ong87ar29x
parameter_name,PQ
gene_accession_id,MGI:99501
mouse_strain,C57BL
gene_symbol,Fgb
pvalue,0.5183547
mouse_life_stage,E12.5
parameter_id,IMPC_ECG_005_001
