analysis_id,enwgt2pr0k42ce1
mouse_strain,C57BL
gene_accession_id,MGI:95835
pvalue,0.7938613
gene_symbol,Hspa5
parameter_id,HMGULA_CBC_018_001
parameter_name,Glucose
mouse_life_stage,E9.5
