parameter_name,NK cell number
analysis_id,u8ok3tj774c16wq
pvalue,0.360735
gene_accession_id,MGI:1914071
mouse_life_stage,E9.5
parameter_id,MGP_PBI_027_001
gene_symbol,Bcs1l
mouse_strain,C57BL
