gene_symbol,Lrrc69
analysis_id,k8296apeo2513co
gene_accession_id,MGI:1920564
parameter_id,IMPC_CBC_008_001
parameter_name,Total bilirubin
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.7620225
