parameter_id,IMPC_HWT_008_001
gene_accession_id,MGI:1915678
pvalue,0.442871
gene_symbol,Steap3
mouse_strain,C57BL
analysis_id,hm4h30mlfgfkc06
parameter_name,Heart weight
mouse_life_stage,Early adult
