analysis_id,d99x76684o0b6ix
pvalue,0.3152659
mouse_strain,C57BL
parameter_id,MGP_MLN_074_001
mouse_life_stage,Early adult
parameter_name,Effector CD8+ T cells - % of CD45+
gene_accession_id,MGI:1919935
gene_symbol,Dnajc6
