gene_symbol,Psd4
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_016_001
parameter_name,Center permanence time
analysis_id,24c733810v7w918
pvalue,0.4429694
gene_accession_id,MGI:2674093
