parameter_id,IMPC_XRY_066_001
analysis_id,8l5n8952e99zo56
mouse_life_stage,Early adult
gene_accession_id,MGI:1914050
parameter_name,Sacral processes
mouse_strain,C57BL
gene_symbol,Trp53rkb
pvalue,0.6680513
