parameter_name,Limb grasping
mouse_strain,C57BL
parameter_id,ESLIM_008_001_017
analysis_id,0ck0qhmsyvnl94v
pvalue,0.2260003
gene_accession_id,MGI:107566
gene_symbol,Kifap3
mouse_life_stage,Early adult
