gene_symbol,Slc30a4
parameter_name,CD11b-high cDC - % of CD45+
pvalue,0.1584134
analysis_id,aeq9lo542592l99
gene_accession_id,MGI:1345282
parameter_id,MGP_IMM_129_001
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
