analysis_id,8aha48575ja9391
pvalue,0.9738472
gene_accession_id,MGI:1915033
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
mouse_strain,C57BL
gene_symbol,Ahctf1
mouse_life_stage,Early adult
parameter_id,MGP_IMM_094_001
