parameter_id,HMGULA_DYS_024_001
mouse_strain,C57BL
mouse_life_stage,E18.5
parameter_name,Vibrissae - appearance
gene_accession_id,MGI:2446186
pvalue,0.3120062
gene_symbol,Lpgat1
analysis_id,903o9m3ed0t0tcd
