analysis_id,6710l0nj610ka5y
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
parameter_id,IMPC_FEA_107_001
gene_accession_id,MGI:1923029
gene_symbol,Dnaaf9
pvalue,0.4947264
