gene_symbol,Pum1
parameter_name,B cell percentage
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_PBI_014_001
gene_accession_id,MGI:1931749
analysis_id,9a9a19ozuv4uq2a
pvalue,0.3941152
