gene_symbol,Ints7
analysis_id,3wabl9vr18z12n8
parameter_id,MGP_PBI_002_001
mouse_life_stage,Early adult
pvalue,0.2760829
mouse_strain,C57BL
parameter_name,Alpha beta T cell percentage
gene_accession_id,MGI:1924315
