parameter_name,Ly6Clow monocyte percentage
parameter_id,MGP_PBI_018_001
gene_symbol,Snap23
analysis_id,2625y9x45cf8w7e
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:109356
pvalue,0.750686
mouse_strain,C57BL
