analysis_id,zj098m52590fg5m
mouse_life_stage,Early adult
gene_symbol,Snrpb2
mouse_strain,C57BL
parameter_name,Tremor
parameter_id,TCPLA_CSD_030_001
gene_accession_id,MGI:104805
pvalue,0.7910393
