analysis_id,4d9821qkslx5se1
mouse_strain,C57BL
parameter_id,MGP_IMM_131_001
pvalue,0.2823628
parameter_name,CD103+ CD11b-low cDC - % of CD45+
mouse_life_stage,Early adult
gene_symbol,Bach2
gene_accession_id,MGI:894679
