parameter_name,B2B Cells
analysis_id,d2ji750b1p975ib
parameter_id,IMPC_IMM_065_001
gene_accession_id,MGI:109384
mouse_life_stage,Early adult
pvalue,0.91852
mouse_strain,C57BL
gene_symbol,Atf3
